ID,Name,URL,Size,Pages
1,Travel,travel_2,11,1
2,Mystery,mystery_3,32,2
3,Historical Fiction,historical-fiction_4,26,2
4,Sequential Art,sequential-art_5,75,4
5,Classics,classics_6,19,1
6,Philosophy,philosophy_7,11,1
7,Romance,romance_8,35,2
8,Womens Fiction,womens-fiction_9,17,1
9,Fiction,fiction_10,65,4
10,Childrens,childrens_11,29,2
11,Religion,religion_12,7,1
12,Nonfiction,nonfiction_13,110,6
13,Music,music_14,13,1
14,Default,default_15,152,8
15,Science Fiction,science-fiction_16,16,1
16,Sports and Games,sports-and-games_17,5,1
17,Add a comment,add-a-comment_18,67,4
18,Fantasy,fantasy_19,48,3
19,New Adult,new-adult_20,6,1
20,Young Adult,young-adult_21,54,3
21,Science,science_22,14,1
22,Poetry,poetry_23,19,1
23,Paranormal,paranormal_24,1,1
24,Art,art_25,8,1
25,Psychology,psychology_26,7,1
26,Autobiography,autobiography_27,9,1
27,Parenting,parenting_28,1,1
28,Adult Fiction,adult-fiction_29,1,1
29,Humor,humor_30,10,1
30,Horror,horror_31,17,1
31,History,history_32,18,1
32,Food and Drink,food-and-drink_33,30,2
33,Christian Fiction,christian-fiction_34,6,1
34,Business,business_35,12,1
35,Biography,biography_36,5,1
36,Thriller,thriller_37,11,1
37,Contemporary,contemporary_38,3,1
38,Spirituality,spirituality_39,6,1
39,Academic,academic_40,1,1
40,Self Help,self-help_41,5,1
41,Historical,historical_42,2,1
42,Christian,christian_43,3,1
43,Suspense,suspense_44,1,1
44,Short Stories,short-stories_45,1,1
45,Novels,novels_46,1,1
46,Health,health_47,4,1
47,Politics,politics_48,3,1
48,Cultural,cultural_49,1,1
49,Erotica,erotica_50,1,1
50,Crime,crime_51,1,1
